,Average.Litter.Depth,Average.Flame.Height,PercentCombustion,HeatFlux_SBG01_Max,Heatflux_flat_Max,Temp_C_15_10_Max,Temp_C_30_10_Max,Temp_C_45_10_Max,Temp_C_30_5_Max,Temp_C_30_20_Max,Temp_C_IR_Max,Mean.ROS.ms.1,Fireline.intensity.kWm.1
Average.Litter.Depth,1,0.872070282,0.478241902,0.778200397,0.794313272,0.51532823,0.643396241,0.578974647,0.749106373,0.640464128,0.722877399,0.860910214,0.871008898
Average.Flame.Height,0.872070282,1,0.523980584,0.860169502,0.866703713,0.521045291,0.657060055,0.631885823,0.698981905,0.733782979,0.740904199,0.889260853,0.90019346
PercentCombustion,0.478241902,0.523980584,1,0.569640952,0.646575396,0.209135137,0.424938344,0.451891796,0.467263256,0.598282212,0.690192644,0.389787589,0.475675105
HeatFlux_SBG01_Max,0.778200397,0.860169502,0.569640952,1,0.883344184,0.468727612,0.669322912,0.589761905,0.735200726,0.84690366,0.801212876,0.702429406,0.724764015
Heatflux_flat_Max,0.794313272,0.866703713,0.646575396,0.883344184,1,0.465054537,0.667072653,0.660273343,0.760012586,0.860820096,0.848632183,0.730457738,0.758526001
Temp_C_15_10_Max,0.51532823,0.521045291,0.209135137,0.468727612,0.465054537,1,0.61442926,0.512225791,0.494031433,0.408962737,0.448577811,0.452612381,0.449468573
Temp_C_30_10_Max,0.643396241,0.657060055,0.424938344,0.669322912,0.667072653,0.61442926,1,0.572014558,0.664657229,0.71890441,0.628680636,0.56651411,0.57797068
Temp_C_45_10_Max,0.578974647,0.631885823,0.451891796,0.589761905,0.660273343,0.512225791,0.572014558,1,0.561097895,0.610161963,0.59964416,0.56549152,0.578351451
Temp_C_30_5_Max,0.749106373,0.698981905,0.467263256,0.735200726,0.760012586,0.494031433,0.664657229,0.561097895,1,0.679926631,0.743461206,0.593275933,0.61207356
Temp_C_30_20_Max,0.640464128,0.733782979,0.598282212,0.84690366,0.860820096,0.408962737,0.71890441,0.610161963,0.679926631,1,0.776215511,0.568261381,0.595386887
Temp_C_IR_Max,0.722877399,0.740904199,0.690192644,0.801212876,0.848632183,0.448577811,0.628680636,0.59964416,0.743461206,0.776215511,1,0.616882114,0.657010605
Mean.ROS.ms.1,0.860910214,0.889260853,0.389787589,0.702429406,0.730457738,0.452612381,0.56651411,0.56549152,0.593275933,0.568261381,0.616882114,1,0.994681403
Fireline.intensity.kWm.1,0.871008898,0.90019346,0.475675105,0.724764015,0.758526001,0.449468573,0.57797068,0.578351451,0.61207356,0.595386887,0.657010605,0.994681403,1
