"","Species","sample","IndCode","shade","Date","time","LitterDepth1","LitterDepth2","LitterDepth3","Average.Litter.Depth","FlameHeight1","FlameHeight2","FlameHeight3","Average.Flame.Height","Original.Mass","FinalMass.g.","PercentCombustion","HeatFlux_SBG01_Max","Heatflux_flat_Max","Temp_C_15_10_Max","Temp_C_30_10_Max","Temp_C_45_10_Max","Temp_C_30_5_Max","Temp_C_30_20_Max","Temp_C_IR_Max","ROS1mmin.1","ROS2mmin.1","count15","count30","Count45","Fuel.load..kg.m2.","Mean.ROS.mmin.1","Mean.ROS.ms.1","Fireline.intensity.kWm.1","Comments","FreshL","FreshW","FreshH","FreshTH","Petole","DryL","DryW","DryH","DryTH","DryWeight","Areacm2","SLAcm2g.1","freshL3D","freshW3D","freshH3D","freshHull","dryL3D","dryW3D","dryH3D","dryHull","BulkDryL","BulkDryW","BulkDryH"
"1","GOPO",1,"GOPO1","","6/1/2019","10:35",8,7.5,7,7.5,60,70,63.33333333,64.44444444,150,14.6,0.902666667,47.71,21.02,549.8,653.5,705.1,549.1,579.4,685.8,0.290322581,0.204545455,NA,NA,NA,1,0.247434018,0.0041239,69.32053152,"",13.94,4.806,2.25,0.385,1.52,12.066,1.804,1.77,0.308,0.6194,41.9826938125,69.77626725,123.328935581153,46.1993778364971,19.9875764750463,44481.6912145582,113.153551611924,25.3528049976528,20.6733223112646,26517.3002415339,13.518,2.562,1.848
"2","LEEL",3,"LEEL3","","6/1/2019","11:20",5,5,4,4.666666667,38.33333333,36.66666667,38.33333333,37.77777778,150,37.8,0.748,21.64,9.24,482.7,403.9,557.4,485.5,358.4,527,0.195652176,0.176470586,NA,NA,NA,1,0.186061381,0.003101023,43.19494351,"",6.35,3.00666666666667,1.14333333333333,0.28,0.738333333333333,5.98166666666667,2.64166666666667,1.24666666666667,0.256666666666667,0.216833333333333,12.8358046736667,61.6492765233333,63.8054480720763,30.5539622302366,10.0552613700709,7359.85418568619,59.8582196380268,29.1721605174526,13.67281393085,9791.79852564633,6.01,2.866,1.032
"3","STRO",1,"STRO1","","6/1/2019","12:37",1.8,1.7,1.6,1.7,0,0,0,0,150,145.9,0.027333333,0,0.236,36.66,29.98,29.15,29.15,29.15,33.3,0,0,NA,NA,NA,1,0,0,0,"",1.65,0.93,0.1325,0.165,0.0875,1.475,0.755,0.185,0.12,0.01,1.07806236,109.072588755,15.0991116920043,8.69075370554581,2.40540785745775,183.340789147595,13.2399393876558,7.17212892383592,2.1960111428325,105.930494570764,1.438,0.858,0.212
"4","ERSU",1,"ERSU1","","6/1/2019","12:59",7,7.5,8,7.5,30,26.66666667,31.66666667,29.44444444,150,28.5,0.81,28.85,10.02,363.9,518.9,360.7,536.4,350.1,575.6,0.195652174,0.136363637,NA,NA,NA,1,0.166007905,0.002766798,41.73388937,"",9.146,4.442,2.934,0.298,0.52,9.55166666666667,3.90166666666667,2.59166666666667,0.246666666666667,0.516333333333333,31.868796478,64.878055494,90.708031800451,47.1087043362675,32.7879866276485,52405.0512678418,89.5245605214358,42.2962400444416,27.2793157437962,40043.4634534072,9.154,3.168,2.322
"5","PLEL",1,"PLEL1","","6/1/2019","13:25",5.5,5,4.5,5,23.33333333,14,10,15.77777778,150,86.2,0.425333333,8.88,4.231,528.9,471.4,503.4,508.9,206.4,501,0.101123596,0.068181818,NA,NA,NA,1,0.084652707,0.001410878,11.17494363,"Irregular flame front. Stopped at 50 cm",4.574,1.974,0.384,0.242,0.15,4.22557142857143,1.83428571428571,0.766428571428571,0.187142857142857,0.0917142857142857,7.976447608,90.0374883233333,46.9438445893238,20.5131741300468,4.53233609919286,2017.66684091822,44.6996983571893,19.4220998127468,8.40997024817164,3197.66584157685,4.966,1.886,0.932
"6","CUVE",1,"CUVE1","yes","6/1/2019","13:54",11,9.5,9,9.833333333,66.66666667,63.33333333,63.33333333,64.44444444,150,12.8,0.914666667,62.13,26.04,481.2,497.2,442.8,498.9,454.1,720.5,0.272727271,0.359999997,NA,NA,NA,1,0.316363634,0.005272727,89.8099553,"",13.21,4.305,1.4125,0.21,0.355,11.9,3.035,2.61,0.2075,0.357,44.5408786575,124.678639925,119.772239652809,45.2411836467662,12.4508860268289,33454.6081889739,110.79517872934,40.0963437622259,26.3295116164766,44348.2340921274,10.136,2.812,3.02
"7","OCCO",1,"OCCO1","","6/1/2019","14:10",5,5,5,5,48.33333333,46.66666667,45,46.66666667,150,45.7,0.695333333,37.72,17,580.6,585.4,672.2,598.2,515.1,588.6,0.225,0.243243244,NA,NA,NA,1,0.234121622,0.003902027,50.52538671,"",9.07333333333333,2.59,1.44283333333333,0.273333333333333,0.718,8.28166666666667,2.02833333333333,1.1665,0.213333333333333,0.197666666666667,14.6304366883333,74.9584473983333,78.9181403145861,25.9322803568837,12.9960919882773,9245.98849536102,77.2615110827441,22.6506901487791,11.7849240653746,8002.57287786815,7.636,1.614,1.474
"8","CASYf",1,"CASYf1","","6/1/2019","14:27",9,8,8,8.333333333,46.66666667,45,51.66666667,47.77777778,150,12.8,0.914666667,55.47,12.52,462.6,446.6,523.3,507.4,433.7,587.2,0.264705884,0.200000001,NA,NA,NA,1,0.232352942,0.003872549,65.96082833,"",8.81666666666667,2.65333333333333,1.15,0.15,0.465,8.1,1.31333333333333,1.07333333333333,0.145,0.1478,16.5521711975,114.012500125,84.0589503800259,26.6553892948056,13.5701516238774,12347.6618508013,79.0348289323628,17.4495660475081,13.6514184854797,7752.33945058215,8.078,1.74,1.52
"9","CAAD",1,"CAAD1","","6/3/2019","8:47",3.9,4.1,3.6,3.866666667,25,21.66666667,21.66666667,22.77777778,150,13.69,0.908733333,13.32,5.842,351.4,433,368.5,483.4,235.3,533.7,0.105882353,0.097826087,90,175,267,1,0.10185422,0.00169757,28.72701874,"",8.31666666666667,3.28333333333333,1.235,0.27,0.7075,7.41166666666667,3.58333333333333,1.13783333333333,0.268333333333333,0.252,18.03453382,74.4859943025,80.964501999067,32.0885689004953,15.2299998888963,13619.0198435419,67.8386940824126,22.113247529524,13.8526525571876,8442.65410773168,7.232,1.49,1.022
"10","TACA",1,"TACA1","","6/3/2019","9:18",7.7,7.1,6.4,7.066666667,68.33333333,63.33333333,61.66666667,64.44444444,150,26.89,0.820733333,46.61,21.56,519.8,410.9,578.1,467.9,409.3,650.2,0.290322581,0.36,403,434,459,1,0.32516129,0.005419355,82.82777259,"",11.48,2.21,1.88333333333333,0.201666666666667,0.451666666666667,10.14,1.71166666666667,1.32283333333333,0.145,0.151,17.6353948375,111.975204425,106.849378466051,21.1117638331051,17.6533490456738,14323.0608506867,97.264017313024,20.7513677448339,15.4390497009905,12606.3415473279,9.324,1.35,1.352
