"","Species","sample","IndCode","shade","Date","time","LitterDepth1","LitterDepth2","LitterDepth3","Average.Litter.Depth","FlameHeight1","FlameHeight2","FlameHeight3","Average.Flame.Height","Original.Mass","FinalMass.g.","PercentCombustion","HeatFlux_SBG01_Max","Heatflux_flat_Max","Temp_C_15_10_Max","Temp_C_30_10_Max","Temp_C_45_10_Max","Temp_C_30_5_Max","Temp_C_30_20_Max","Temp_C_IR_Max","ROS1mmin.1","ROS2mmin.1","count15","count30","Count45","Fuel.load..kg.m2.","Mean.ROS.mmin.1","Mean.ROS.ms.1","Fireline.intensity.kWm.1","Comments","success","litter_spec_vol","litter_bulk_density","log_litter_spec_vol","Carbon","Nitrogen","Al.Conc.","All_ash","FreshL","FreshW","FreshH","FreshTH","Petole","DryL","DryW","DryH","DryTH","DryWeight","Areacm2","SLAcm2g.1","freshL3D","freshW3D","freshH3D","freshHull","dryL3D","dryW3D","dryH3D","dryHull","particle_volume","volume_ratio","hull_specific_vol","prismatic_volume","rectangular_volume","S1","C1","C1H","C1Hfresh","C1H_new","S2","C2","C2H","C2Hfresh","C2H_new","S3","C3","C3H","C3Hfresh","packing_ratio","FG","accumulator"
"1","GOPO",1,"GOPO1","","6/1/2019","10:35",8,7.5,7,7.5,60,70,63.33333333,64.44444444,150,14.6,0.902666667,47.71,21.02,549.8,653.5,705.1,549.1,579.4,685.8,0.290322581,0.204545455,NA,NA,NA,1,0.247434018,0.0041239,69.32053152,"",TRUE,75,0.0133333333333333,4.31748811353631,48.24,2.03666666666667,92.6666666666667,330.449666666667,13.94,4.806,2.25,0.385,1.52,12.066,1.804,1.77,0.308,0.6194,41.9826938125,69.77626725,123.328935581153,46.1993778364971,19.9875764750463,44481.6912145582,113.153551611924,25.3528049976528,20.6733223112646,26.5173002415339,1.6096363506175,25735.6046543091,44.1508337939329,99.191149465025,155.6086475,6.44839915675789,0.286739281142329,0.0458010456777142,0.533835537248649,0.000100771714215285,4.6364974256694,0.379850954512661,0.0629298271612289,0.427016886531754,0.000100771714215285,12.066,0.146014839347464,0.0240620131569504,0.252337239031621,0.0346493671427726,"G",FALSE
"2","LEEL",3,"LEEL3","","6/1/2019","11:20",5,5,4,4.666666667,38.33333333,36.66666667,38.33333333,37.77777778,150,37.8,0.748,21.64,9.24,482.7,403.9,557.4,485.5,358.4,527,0.195652176,0.176470586,NA,NA,NA,1,0.186061381,0.003101023,43.19494351,"",TRUE,46.66666667,0.0214285714270408,3.84303013401262,49.5766666666667,2.15,87,426.293,6.35,3.00666666666667,1.14333333333333,0.28,0.738333333333333,5.98166666666667,2.64166666666667,1.24666666666667,0.256666666666667,0.216833333333333,12.8358046736667,61.6492765233333,63.8054480720763,30.5539622302366,10.0552613700709,7359.85418568619,59.8582196380268,29.1721605174526,13.67281393085,9.79179852564633,0.360374153771,19179.7675844086,42.3595589493581,15.85899062283,24.478118,3.511931333798,0.353111460896589,0.0584065283694604,0.532109924859438,0.000200447804331528,3.93820094039407,0.337343991921456,0.0530348000618269,0.428141429593157,0.000200447804331528,5.98166666666667,0.206477802577965,0.03429340091777,0.29487792434607,0.0356140044329343,"S",FALSE
"3","ERSU",1,"ERSU1","","6/1/2019","12:59",7,7.5,8,7.5,30,26.66666667,31.66666667,29.44444444,150,28.5,0.81,28.85,10.02,363.9,518.9,360.7,536.4,350.1,575.6,0.195652174,0.136363637,NA,NA,NA,1,0.166007905,0.002766798,41.73388937,"",TRUE,75,0.0133333333333333,4.31748811353631,45.44,1.64,41.3333333333333,205.991333333333,9.146,4.442,2.934,0.298,0.52,9.55166666666667,3.90166666666667,2.59166666666667,0.246666666666667,0.516333333333333,31.868796478,64.878055494,90.708031800451,47.1087043362675,32.7879866276485,52405.0512678418,89.5245605214358,42.2962400444416,27.2793157437962,40.0434634534072,0.95632425224,48925.3166064923,75.1572450061739,88.91181070765,121.0569844,5.61837009011163,0.438728391564227,0.0581641523305538,0.653826661570768,0.000199289741554611,6.07534934491724,0.431010638830515,0.0554634461665458,0.572134580461305,0.000199289741554611,9.55166666666667,0.2755706832771,0.0356261049506686,0.401196514546609,0.0246952679726275,"S",FALSE
"4","PLEL",1,"PLEL1","","6/1/2019","13:25",5.5,5,4.5,5,23.33333333,14,10,15.77777778,150,86.2,0.425333333,8.88,4.231,528.9,471.4,503.4,508.9,206.4,501,0.101123596,0.068181818,NA,NA,NA,1,0.084652707,0.001410878,11.17494363,"Irregular flame front. Stopped at 50 cm",TRUE,50,0.02,3.91202300542815,48.2433333333333,3.28,193.333333333333,734.165333333333,4.574,1.974,0.384,0.242,0.15,4.22557142857143,1.83428571428571,0.766428571428571,0.187142857142857,0.0917142857142857,7.976447608,90.0374883233333,46.9438445893238,20.5131741300468,4.53233609919286,2017.66684091822,44.6996983571893,19.4220998127468,8.40997024817164,3.19766584157685,0.1920274654325,10857.1798491861,34.8243024461322,3.5586987972925,3.841272,2.80245509368743,0.278280531388255,0.0514959393522928,0.443729673839055,0.000139169383402627,2.76285701086741,0.278945709044059,0.0515287593918401,0.419656175358232,0.000139169383402627,4.22557142857143,0.185108694130103,0.0351800469772482,0.285325574925175,0.0418751482251558,"G",FALSE
"5","CUVE",1,"CUVE1","yes","6/1/2019","13:54",11,9.5,9,9.833333333,66.66666667,63.33333333,63.33333333,64.44444444,150,12.8,0.914666667,62.13,26.04,481.2,497.2,442.8,498.9,454.1,720.5,0.272727271,0.359999997,NA,NA,NA,1,0.316363634,0.005272727,89.8099553,"",TRUE,98.33333333,0.0101694915257685,4.58836306763781,48.92,2.02,208.333333333333,813.874333333333,13.21,4.305,1.4125,0.21,0.355,11.9,3.035,2.61,0.2075,0.357,44.5408786575,124.678639925,119.772239652809,45.2411836467662,12.4508860268289,33454.6081889739,110.79517872934,40.0963437622259,26.3295116164766,44.3482340921274,0.93728070603,34797.2340996713,119.744098087189,64.338818271925,82.6968985,6.62909091934524,0.391638986348977,0.0516624485273793,0.473142223466429,0.000142011430837225,5.97428073070837,0.447313171110159,0.0582996800924658,0.41592403380536,0.000142011430837225,11.9,0.218800944558732,0.0288725575725894,0.237970063756387,0.0266993506925444,"F",FALSE
"6","OCCO",1,"OCCO1","","6/1/2019","14:10",5,5,5,5,48.33333333,46.66666667,45,46.66666667,150,45.7,0.695333333,37.72,17,580.6,585.4,672.2,598.2,515.1,588.6,0.225,0.243243244,NA,NA,NA,1,0.234121622,0.003902027,50.52538671,"",TRUE,50,0.02,3.91202300542815,51.69,1.79,103.666666666667,295.872666666667,9.07333333333333,2.59,1.44283333333333,0.273333333333333,0.718,8.28166666666667,2.02833333333333,1.1665,0.213333333333333,0.197666666666667,14.6304366883333,74.9584473983333,78.9181403145861,25.9322803568837,12.9960919882773,9245.98849536102,77.2615110827441,22.6506901487791,11.7849240653746,8.00257287786815,0.386845116363333,24688.6437986299,40.0795091895564,21.4763933301417,34.7792433333333,3.81016138488459,0.306753102117934,0.0518889068881796,0.535059934231436,0.000140557900914612,4.03696642062886,0.292414885368023,0.0492166070616826,0.422209276875324,0.000140557900914612,8.28166666666667,0.141635850299278,0.0240204611090111,0.226430860466297,0.0391411584853288,"G",FALSE
"7","CASYf",1,"CASYf1","","6/1/2019","14:27",9,8,8,8.333333333,46.66666667,45,51.66666667,47.77777778,150,12.8,0.914666667,55.47,12.52,462.6,446.6,523.3,507.4,433.7,587.2,0.264705884,0.200000001,NA,NA,NA,1,0.232352942,0.003872549,65.96082833,"",TRUE,83.33333333,0.01200000000048,4.42284862915414,NA,NA,NA,NA,8.81666666666667,2.65333333333333,1.15,0.15,0.465,8.1,1.31333333333333,1.07333333333333,0.145,0.1478,16.5521711975,114.012500125,84.0589503800259,26.6553892948056,13.5701516238774,12347.6618508013,79.0348289323628,17.4495660475081,13.6514184854797,7.75233945058215,0.2437108566775,42587.5041685262,55.0385003233158,20.397360818975,27.652084,4.03493738039509,0.249060202866753,0.0483331185588835,0.535823689565838,0.000121350459567298,3.24715322350514,0.330746439431514,0.0614427026652806,0.468029561264166,0.000121350459567298,8.1,0.135065292737822,0.0248998960313473,0.257502511764311,0.0197870790273815,NA,NA
"8","CAAD",1,"CAAD1","","6/3/2019","8:47",3.9,4.1,3.6,3.866666667,25,21.66666667,21.66666667,22.77777778,150,13.69,0.908733333,13.32,5.842,351.4,433,368.5,483.4,235.3,533.7,0.105882353,0.097826087,90,175,267,1,0.10185422,0.00169757,28.72701874,"",TRUE,38.66666667,0.0258620689632878,3.65497790252446,48.8466666666667,1.07333333333333,232.666666666667,641.172666666667,8.31666666666667,3.28333333333333,1.235,0.27,0.7075,7.41166666666667,3.58333333333333,1.13783333333333,0.268333333333333,0.252,18.03453382,74.4859943025,80.964501999067,32.0885689004953,15.2299998888963,13619.0198435419,67.8386940824126,22.113247529524,13.8526525571876,8.44265410773168,0.4871728786075,23828.1973059175,34.0816190032652,21.8538840663,34.90472,4.24500541905854,0.27007450360047,0.0481637318323081,0.530356150833197,0.000114068557834484,4.60423967431242,0.28403043849786,0.0501931788497246,0.460845110626737,0.000114068557834484,7.41166666666667,0.15418175218673,0.0271239684018445,0.288639219603011,0.0499972166015499,"S",FALSE
"9","TACA",1,"TACA1","","6/3/2019","9:18",7.7,7.1,6.4,7.066666667,68.33333333,63.33333333,61.66666667,64.44444444,150,26.89,0.820733333,46.61,21.56,519.8,410.9,578.1,467.9,409.3,650.2,0.290322581,0.36,403,434,459,1,0.32516129,0.005419355,82.82777259,"",TRUE,70.66666667,0.0141509433955589,4.25797398605107,48.1733333333333,2.39666666666667,308,636.709,11.48,2.21,1.88333333333333,0.201666666666667,0.451666666666667,10.14,1.71166666666667,1.32283333333333,0.145,0.151,17.6353948375,111.975204425,106.849378466051,21.1117638331051,17.6533490456738,14323.0608506867,97.264017313024,20.7513677448339,15.4390497009905,12.6063415473279,0.3282522825825,39944.1407074646,78.0867071545879,34.46972156525,48.2534633333333,4.17061434056231,0.29514552393763,0.0532098193748145,0.556121294868031,0.000158919234199417,4.09808214531894,0.313813043271778,0.0548802243382209,0.466177790273257,0.000158919234199417,10.14,0.131495127422326,0.0221583903010084,0.205297987086397,0.0307621156972713,"F",FALSE
"10","PLPO",1,"PLPO1","","6/3/2019","9:39",7,6.6,6.5,6.7,43.33333333,43.33333333,50,45.55555556,150,10.89,0.9274,42.17,17.66,486.6,488.2,604.9,480.2,424.2,654.6,0.236842105,0.272727273,597,635,668,1,0.254784689,0.004246411,73.33570806,"",TRUE,67,0.0149253731343284,4.20469261939097,50.1366666666667,1.46333333333333,80,378.301,8.79166666666667,5.04333333333333,1.965,0.193333333333333,2.16666666666667,8.18833333333333,4.885,1.36166666666667,0.15,0.301333333333333,26.0056947016667,85.54390969,69.0631511121049,51.4034797043604,20.6382280325212,25105.3924717089,64.2419530936718,52.8233435568897,13.8742322577986,20.6147866856347,0.507407324468333,45642.9934256289,65.9939759862741,53.8943543354833,93.0886828333333,5.06574205284178,0.271231320495271,0.0525345209430943,0.550527726534955,0.000146526252295438,6.30582218307115,0.217323513606613,0.0421881668642632,0.418854062673037,0.000146526252295438,8.18833333333333,0.168258005613426,0.0327133315798238,0.317365669378458,0.0251324457371054,"S",FALSE
