"","filename","Species","IndCode","IndLeafCode","Dry","length","width","height","hull_volume"
"1","AESE1-1.xyz","AESE","AESE1","AESE1-1","No",226.776447434397,98.963417595303,36.9098737003071,361457.788881254
"2","AESE1-1dry.xyz","AESE","AESE1","AESE1-1","Yes",213.424410304644,49.4703185562195,38.3059038610592,135998.29166547
"3","AESE1-2.xyz","AESE","AESE1","AESE1-2","No",197.6126117148,91.0264313588636,36.8639848415173,204399.093519961
"4","AESE1-2dry.xyz","AESE","AESE1","AESE1-2","Yes",177.532041678646,37.0719830553686,28.1436950329715,81426.8042273855
"5","AESE2-1.xyz","AESE","AESE2","AESE2-1","No",190.553867315716,73.7214803206862,25.6084107697069,121457.537911416
"6","AESE2-1dry.xyz","AESE","AESE2","AESE2-1","Yes",168.280460131541,42.4597731628565,27.1204082874094,68328.9632839342
"7","aese2-2.xyz","AESE","AESE2","AESE2-2","No",214.878594063113,73.3840869708486,38.6834031621794,228223.974100216
"8","aese2-2dry.xyz","AESE","AESE2","AESE2-2","Yes",189.113558625178,39.6825254418966,30.4026469567078,75949.9179438937
"9","aese3-1.xyz","AESE","AESE3","AESE3-1","No",217.040591756349,101.927117142757,33.1061895444488,302248.996753676
"10","aese3-1dry.xyz","AESE","AESE3","AESE3-1","Yes",169.40506902012,47.7296652393261,55.9944030456314,162595.228473109
"11","aese3-2.xyz","AESE","AESE3","AESE3-2","No",213.734201922446,96.7307397220906,39.5330049177956,264479.140322406
"12","aese3-2dry.xyz","AESE","AESE3","AESE3-2","Yes",190.020602057716,59.0671735364078,46.5911225742243,176430.61612761
"13","aeve1-1.xyz","AEVE","AEVE1","AEVE1-1","No",163.170995469051,55.7780298354929,41.8939564414174,146960.994413671
"14","aeve1-1dry.xyz","AEVE","AEVE1","AEVE1-1","Yes",149.285811555357,35.8070773798209,32.1708784108454,60689.9411452216
"15","aeve1-2.xyz","AEVE","AEVE1","AEVE1-2","No",100.243564222999,48.9267502986917,29.922076870327,48407.6139899749
"16","aeve1-2dry.xyz","AEVE","AEVE1","AEVE1-2","Yes",84.4376511959825,33.3258847678151,22.4657460335395,19933.8274810887
"17","aeve2-1.xyz","AEVE","AEVE2","AEVE2-1","No",115.615227458276,61.4155819866005,43.7919664558463,98868.7905518251
"18","aeve2-1dry.xyz","AEVE","AEVE2","AEVE2-1","Yes",129.736263449297,46.0137774860294,27.2233561783315,56379.6460946649
"19","aeve2-2.xyz","AEVE","AEVE2","AEVE2-2","No",124.649709108571,70.1413915248162,30.9900995862914,110824.412123217
"20","aeve2-2dry.xyz","AEVE","AEVE2","AEVE2-2","Yes",129.270381802223,55.3614076270602,39.9092373409821,77064.4624029094
"21","aeve3-1.xyz","AEVE","AEVE3","AEVE3-1","No",129.461172792474,53.6080607765145,35.2287329663967,88012.0613499289
"22","aeve3-1dry.xyz","AEVE","AEVE3","AEVE3-1","Yes",131.322935109422,42.7206408572254,34.571663228645,68145.2228816626
"23","aeve3-2.xyz","AEVE","AEVE3","AEVE3-2","No",147.201363037325,81.8540291544788,30.9939769676231,149789.88630722
"24","aeve3-2dry.xyz","AEVE","AEVE3","AEVE3-2","Yes",132.140172116942,35.1211601534619,28.1050675614698,54433.0055693793
"25","aled1-1.xyz","ALED","ALED1","ALED1-1","No",118.157172312367,59.1015519598124,23.1416204461579,42994.0769595239
"26","aled1-1dry.xyz","ALED","ALED1","ALED1-1","Yes",111.347824671156,60.5440805029478,17.3189159858305,37192.3076163014
"27","aled1-2.xyz","ALED","ALED1","ALED1-2","No",127.932079513521,61.9365062321001,20.0230767623286,45609.4445322865
"28","aled1-2dry.xyz","ALED","ALED1","ALED1-2","Yes",123.047363903589,61.6618531238793,16.3771646783229,46043.2016271725
"29","aled2-1.xyz","ALED","ALED2","ALED2-1","No",126.534018082394,41.5604907299112,15.2699293139507,29998.9544571949
"30","aled2-1dry.xyz","ALED","ALED2","ALED2-1","Yes",102.370634617406,49.4940047819428,47.8356754246064,63926.0598170881
"31","aled2-2.xyz","ALED","ALED2","ALED2-2","No",136.048855135383,58.1494232058715,32.4826724544719,78562.1421722536
"32","aled2-2dry.xyz","ALED","ALED2","ALED2-2","Yes",139.015553539415,53.5061579776675,21.0925002338652,54641.1098500544
"33","aled3-1.xyz","ALED","ALED3","ALED3-1","No",129.348128027535,73.8604252388335,38.459484717408,140703.175024285
"34","aled3-1dry.xyz","ALED","ALED3","ALED3-1","Yes",127.846549641722,64.1995140158759,45.2458465852331,122117.532020687
