"","IndLeafCode","Species","FreshL","FreshW","FreshH","FreshTH","Petole","Scanned","X3D","IndLeafCode.1","DryL","DryW","DryH","DryTH","X3D.1","DryWeight","Pixels","Areacm2","SLAcm2g.1","X","X.1","X.2","X.3","X.4","FG"
"1","AESE1-1","AESE",24.4,10.9,1.63,0.34,0.58,"YES","YES","AESE1-1",22.5,3.34,4.02,0.38,"YES",1.597,2368171,169.7610225,106.2999515,"",NA,NA,NA,NA,"F"
"2","AESE1-2","AESE",20.7,9.8,2.15,0.35,0.72,"YES","YES","AESE1-2",18.9,3.57,2.75,0.22,"YES",1.247,1872294,134.2143552,107.6297957,"",NA,NA,NA,NA,"F"
"3","AESE2-1","AESE",20.9,7.7,1.62,0.21,0.76,"YES","YES","AESE2-1",18.9,1.48,2.57,0.12,"YES",0.692,1192384,85.4753846,123.5193419,"",NA,NA,NA,NA,"F"
"4","AESE2-2","AESE",24.1,8.14,3.42,0.27,1.18,"YES","YES","AESE2-2",20.9,2.73,2.93,0.2,"YES",1.053,1471110,105.4557031,100.1478662,"",NA,NA,NA,NA,"F"
"5","AESE3-1","AESE",24.5,10.8,1.48,0.39,1.02,"YES","YES","AESE3-1",17.5,6.52,3.73,0.24,"YES",1.624,2309133,165.5289163,101.9266726,"",NA,NA,NA,NA,"F"
"6","AESE3-2","AESE",23.6,10.4,2.91,0.36,0.82,"YES","YES","AESE3-2",20.8,4.8,3.55,0.22,"YES",1.477,2286541,163.9094213,110.9745574,"",NA,NA,NA,NA,"F"
"7","AEVE1-1","AEVE",16.9,6.7,4.07,0.33,0.67,"YES","YES","AEVES4-1",15.9,3.2,2.8,0.27,"YES",0.734,990965,71.03677549,96.78034808,"",NA,NA,NA,NA,"S"
"8","AEVE1-2","AEVE",10.51,5.03,2.37,0.3,0.53,"YES","YES","AEVES4-2",9.22,3.22,1.67,0.23,"YES",0.302,417647,29.93879317,99.13507672,"",NA,NA,NA,NA,"S"
"9","AEVE2-1","AEVE",13.5,6.6,3.87,0.41,0.48,"YES","YES","AEVE2-1",12.78,3.8,2.62,0.29,"YES",0.696,768976,55.12361735,79.20059964,"",NA,NA,NA,NA,"S"
"10","AEVE2-2","AEVE",14.5,7.7,3.12,0.43,0.52,"YES","YES","AEVE2-2",13.53,4.94,3.47,0.35,"YES",0.865,941700,67.50524133,78.04074143,"",NA,NA,NA,NA,"S"
"11","AEVE3-1","AEVE",15.2,7.2,3.41,0.5,0.58,"YES","YES","AEVE3-1",13.62,3.27,3.18,0.3,"YES",0.878,1025175,73.48910033,83.70056986,"",NA,NA,NA,NA,"S"
"12","AEVE3-2","AEVE",15.9,8.2,2.44,0.44,0.57,"YES","YES","AEVE3-2",14.07,3.3,2.39,0.22,"YES",1.109,978250,70.12530778,63.23291955,"",NA,NA,NA,NA,"S"
"13","ALED1-1","ALED",13.2,6.22,2.14,0.22,0.97,"YES","YES","ALED1-1",12.68,6.16,2.04,0.15,"YES",0.716,735039,52.69086236,73.59058989,"",NA,NA,NA,NA,"F"
"14","ALED1-2","ALED",14.21,6.47,2.59,0.19,0.95,"YES","YES","ALED1-2",13.63,5.9,1.47,0.13,"YES",0.754,811667,58.18389797,77.16697343,"",NA,NA,NA,NA,"F"
"15","ALED2-1","ALED",13.9,4.58,2.24,0.16,1.25,"YES","YES","ALED2-1",9.64,5.12,4.41,0.15,"YES",0.375,613834,44.00234927,117.3395981,"",NA,NA,NA,NA,"F"
"16","ALED2-2","ALED",15.22,5.07,2.98,0.28,1.45,"YES","YES","ALED2-2",15.05,4.39,1.35,0.18,"YES",0.56,747090,53.5547316,95.63344929,"",NA,NA,NA,NA,"F"
"17","ALED3-1","ALED",14.95,7.39,4.93,0.22,1.51,"YES","YES","ALED3-1",13.47,6.5,3.96,0.24,"YES",1.458,1190789,85.36104792,58.5466721,"",NA,NA,NA,NA,"F"
"18","ALED3-2","ALED",15.28,7.38,3.97,0.35,0.99,"YES","YES","ALED3-2",13.42,7.37,4.03,0.22,"YES",1.321,1199332,85.97344812,65.08209548,"",NA,NA,NA,NA,"F"
"19","AMIN1-1","AMIN",11.98,4.24,1.93,0.19,1.35,"YES","YES","AMIN1-1",11.49,2.37,1.99,0.19,"YES",0.415,499626,35.81541224,86.30219817,"",NA,NA,NA,NA,"F"
"20","AMIN1-2","AMIN",13.65,4.26,1.63,0.18,1.62,"YES","YES","AMIN1-2",10.58,2.07,1.85,0.13,"YES",0.288,518674,37.18085754,129.1001998,"",NA,NA,NA,NA,"F"
"21","AMIN2-1","AMIN",14.57,5.28,2.34,0.18,0.76,"YES","YES","AMIN2-1",13.17,3.96,1.28,0.12,"YES",0.394,728579,52.22778085,132.5578194,"",NA,NA,NA,NA,"F"
"22","AMIN2-2","AMIN",13,4.64,2.29,0.19,0.8,"YES","YES","AMIN2-2",11.23,2.15,1.65,0.1,"YES",0.332,614364,44.04034203,132.6516326,"",NA,NA,NA,NA,"F"
"23","AMIN3-1","AMIN",13.39,4.25,2.35,0.25,1.4,"YES","YES","AMIN3-1",10.88,2.17,3.16,0.18,"YES",0.496,553115,39.64974149,79.93899494,"",NA,NA,NA,NA,"F"
"24","AMIN3-2","AMIN",10.48,3.13,1.54,0.27,1.03,"YES","YES","AMIN3-2",9.23,1.66,1.18,0.14,"YES",0.261,318638,22.84138801,87.51489659,"",NA,NA,NA,NA,"F"
"25","ANCA1-1","ANCA",14.83,4.47,2.71,0.17,2.66,"YES","YES","ANCA1-1",13.75,3.42,1.46,0.19,"YES",0.491,724424,51.92993198,105.7636089,"",NA,NA,NA,NA,"F"
"26","ANCA1-2","ANCA",14.83,4.59,2.04,0.18,1.82,"YES","YES","ANCA1-2",5.21,4.36,2.14,0.16,"YES",0.402,598848,42.92808619,106.786284,"",NA,NA,NA,NA,"F"
"27","ANCA2-1","ANCA",20.3,4.47,3.16,0.17,2.41,"YES","YES","ANCA2-1",17.8,3.26,1.88,0.25,"YES",0.578,829289,59.44712125,102.8496907,"",NA,NA,NA,NA,"F"
"28","ANCA2-2","ANCA",14.05,3.08,1.06,0.21,2.21,"YES","YES","ANCA2-2",11.46,3.08,1.65,0.24,"YES",0.267,439730,31.52180076,118.0591789,"",NA,NA,NA,NA,"F"
"29","ANCA3-1","ANCA",13.66,4.22,0.92,0.19,0.99,"YES","YES","ANCA3-1",12.19,3.86,2.19,0.18,"YES",0.382,555039,39.78766236,104.1561842,"",NA,NA,NA,NA,"F"
"30","ANCA3-2","ANCA",13.04,4.07,2.01,0.2,1.56,"YES","YES","ANCA3-2",12.49,3.62,1.73,0.21,"YES",0.299,494339,35.43641658,118.5164434,"",NA,NA,NA,NA,"F"
"31","ANCA3-3","ANCA",12.35,4.38,2.1,0.2,1.38,"YES","YES","ANCA3-3",11.35,4.16,1.37,0.18,"YES",0.373,514976,36.91576846,98.96988864,"",NA,NA,NA,NA,"F"
"32","ANCA3-4","ANCA",14.32,4.53,1.55,0.18,1.4,"YES","YES","ANCA3-4",12.93,4.11,1.39,0.19,"YES",0.447,620679,44.49302929,99.53697828,"",NA,NA,NA,NA,"F"
"33","ANCR1-1","ANCR",10.52,4.72,2.54,0.31,0.79,"YES","YES","ANCR1-1",9.92,5.11,1.49,0.16,"YES",0.685,578372,41.4602755,60.52594964,"",NA,NA,NA,NA,"S"
"34","ANCR1-2","ANCR",10.67,4,2.44,0.25,0.47,"YES","YES","ANCR1-2",9.82,3.68,2.17,0.24,"YES",0.66,615103,44.09331683,66.8080558,"",NA,NA,NA,NA,"S"
"35","ANCR2-1","ANCR",8.9,3.9,1.3,0.26,0.33,"YES","YES","ANCR2-1",8.58,3.84,0.79,0.19,"YES",0.317,365290,26.18561071,82.60445019,"",NA,NA,NA,NA,"S"
"36","ANCR2-2","ANCR",8.62,2.31,2.54,0.3,0.88,"YES","YES","ANCR2-2",8.28,1.82,1.93,0.21,"YES",0.447,385523,27.63600208,61.825508,"",NA,NA,NA,NA,"S"
"37","ANCR3-1","ANCR",10.62,6.6,1.99,0.2,0.73,"YES","YES","ANCR3-1",10.27,6.74,1.63,0.31,"YES",0.912,785046,56.27558637,61.70568681,"",NA,NA,NA,NA,"S"
"38","ANCR3-2","ANCR",10.15,6.71,1.6,0.28,0.75,"YES","YES","ANCR3-2",9.98,6.04,0.92,0.29,"YES",0.822,769676,55.17379646,67.12140689,"",NA,NA,NA,NA,"S"
"39","ANFA1-1","ANFA",0.66,0.21,0.23,0.23,0,"YES","YES","ANFA1-1",0.475,0.135,0.023,0.23,"YES",0.002,703,0.050394164,25.19708222,"ANFA 3d scans unreliable sf 090619",NA,NA,NA,NA,"G"
"40","ANFA1-2","ANFA",0.71,0.18,0.34,0.15,0,"YES","YES","ANFA1-2",NA,NA,NA,NA,"",NA,1735,0.124372511,NA,"ANFA 3d scans unreliable sf 090620",NA,NA,NA,NA,"G"
"41","ANFA2-1","ANFA",0.52,0.13,0.02,0.03,0,"YES","YES","ANFA2-1",0.51,0.126,0.018,0.01,"YES",0,649,0.046523204,NA,"ANFA 3d scans unreliable sf 090621",NA,NA,NA,NA,"G"
"42","ANFA2-2","ANFA",0.5,0.16,0.03,0.02,0,"YES","YES","ANFA2-2",0.5,0.159,0.026,0.021,"YES",0.001,754,0.054050071,54.05007111,"ANFA 3d scans unreliable sf 090622",NA,NA,NA,NA,"G"
"43","ANFA3-1","ANFA",0.43,0.1,0.02,0.01,0,"YES","YES","ANFA3-1",0.42,0.095,0.024,0.013,"YES",0,647,0.046379836,NA,"ANFA 3d scans unreliable sf 090623",NA,NA,NA,NA,"G"
"44","ANFA3-2","ANFA",0.46,0.13,0.02,0.02,0,"YES","YES","ANFA3-2",0.45,0.153,0.023,0.012,"YES",0.002,873,0.06258052,31.29026,"ANFA 3d scans unreliable sf 090624",NA,NA,NA,NA,"G"
"45","ASTO1-1","ASTO",15.3,6.25,3.3,0.43,0,"YES","YES","ASTO1-1",14.87,5.69,1.82,0.31,"YES",1.197,878959,63.0076876,52.63800134,"",NA,NA,NA,NA,"S"
"46","ASTO1-2","ASTO",16.1,7.4,3.75,0.43,0,"YES","YES","ASTO1-2",15.37,5.47,3.69,0.43,"YES",1.459,897950,64.36904689,44.1186065,"",NA,NA,NA,NA,"S"
"47","ASTO2-1","ASTO",16.8,7.5,0.86,0.41,0,"YES","YES","ASTO2-1",14.33,6.26,3.37,0.34,"YES",1.051,1148205,82.30843753,78.31440298,"",NA,NA,NA,NA,"S"
"48","ASTO2-2","ASTO",14.02,5.07,1.49,0.38,0,"YES","YES","ASTO2-2",12.62,4.29,1.58,0.32,"YES",0.738,605710,43.41998484,58.83466781,"",NA,NA,NA,NA,"S"
"49","ASTO3-1","ASTO",18.6,9.1,3.2,0.45,0,"YES","YES","ASTO3-1",17.1,7.81,2.7,0.32,"YES",1.657,1555727,111.5214257,67.30321406,"",NA,NA,NA,NA,"S"
"50","ASTO3-2","ASTO",12.9,5.3,1.65,0.32,0,"YES","YES","ASTO3-2",11.58,4.46,1.27,0.22,"YES",0.523,624043,44.73417576,85.53379687,"",NA,NA,NA,NA,"S"
"51","BADR1-1","BADR",2.43,0.66,0.21,0.14,0.08,"YES","YES","BADR1-1",2.38,0.45,0.15,0.21,"YES",0.009,17830,1.278133644,142.0148494,"",NA,NA,NA,NA,"G"
