Species,sample,IndCode,shade,Date,time,LitterDepth1,LitterDepth2,LitterDepth3,Average Litter Depth,FlameHeight1,FlameHeight2,FlameHeight3,Average Flame Height,Original Mass,FinalMass(g),PercentCombustion,HeatFlux_SBG01_Max,Heatflux_flat_Max,Temp_C_15_10_Max,Temp_C_30_10_Max,Temp_C_45_10_Max,Temp_C_30_5_Max,Temp_C_30_20_Max,Temp_C_IR_Max,ROS1mmin-1,ROS2mmin-1,count15,count30,Count45,Fuel load (kg/m2),Mean ROS mmin-1,Mean ROS ms-1,Fireline intensity kWm-1,Comments
GOPO,1,,,6/1/2019,10:35,8,7.5,7,7.5,60,70,63.33333333,64.44444444,150,14.6,0.902666667,47.71,21.02,549.8,653.5,705.1,549.1,579.4,685.8,0.290322581,0.204545455,,,,1,0.247434018,0.0041239,69.32053152,
LEEL,3,,,6/1/2019,11:20,5,5,4,4.666666667,38.33333333,36.66666667,38.33333333,37.77777778,150,37.8,0.748,21.64,9.24,482.7,403.9,557.4,485.5,358.4,527,0.195652176,0.176470586,,,,1,0.186061381,0.003101023,43.19494351,
STRO,1,,,6/1/2019,12:37,1.8,1.7,1.6,1.7,0,0,0,0,150,145.9,0.027333333,0,0.236,36.66,29.98,29.15,29.15,29.15,33.3,0,0,,,,1,0,0,0,
ERSU,1,,,6/1/2019,12:59,7,7.5,8,7.5,30,26.66666667,31.66666667,29.44444444,150,28.5,0.81,28.85,10.02,363.9,518.9,360.7,536.4,350.1,575.6,0.195652174,0.136363637,,,,1,0.166007905,0.002766798,41.73388937,
PLEL,1,,,6/1/2019,13:25,5.5,5,4.5,5,23.33333333,14,10,15.77777778,150,86.2,0.425333333,8.88,4.231,528.9,471.4,503.4,508.9,206.4,501,0.101123596,0.068181818,,,,1,0.084652707,0.001410878,11.17494363,Irregular flame front. Stopped at 50 cm
CUVE,1,,yes,6/1/2019,13:54,11,9.5,9,9.833333333,66.66666667,63.33333333,63.33333333,64.44444444,150,12.8,0.914666667,62.13,26.04,481.2,497.2,442.8,498.9,454.1,720.5,0.272727271,0.359999997,,,,1,0.316363634,0.005272727,89.8099553,
OCCO,1,,,6/1/2019,14:10,5,5,5,5,48.33333333,46.66666667,45,46.66666667,150,45.7,0.695333333,37.72,17,580.6,585.4,672.2,598.2,515.1,588.6,0.225,0.243243244,,,,1,0.234121622,0.003902027,50.52538671,
CASYf,1,,,6/1/2019,14:27,9,8,8,8.333333333,46.66666667,45,51.66666667,47.77777778,150,12.8,0.914666667,55.47,12.52,462.6,446.6,523.3,507.4,433.7,587.2,0.264705884,0.200000001,,,,1,0.232352942,0.003872549,65.96082833,
CAAD,1,,,6/3/2019,8:47,3.9,4.1,3.6,3.866666667,25,21.66666667,21.66666667,22.77777778,150,13.69,0.908733333,13.32,5.842,351.4,433,368.5,483.4,235.3,533.7,0.105882353,0.097826087,90,175,267,1,0.10185422,0.00169757,28.72701874,
TACA,1,,,6/3/2019,9:18,7.7,7.1,6.4,7.066666667,68.33333333,63.33333333,61.66666667,64.44444444,150,26.89,0.820733333,46.61,21.56,519.8,410.9,578.1,467.9,409.3,650.2,0.290322581,0.36,403,434,459,1,0.32516129,0.005419355,82.82777259,
PLPO,1,,,6/3/2019,9:39,7,6.6,6.5,6.7,43.33333333,43.33333333,50,45.55555556,150,10.89,0.9274,42.17,17.66,486.6,488.2,604.9,480.2,424.2,654.6,0.236842105,0.272727273,597,635,668,1,0.254784689,0.004246411,73.33570806,
DIBU,2,,,6/3/2019,10:02,10.2,11.2,10.1,10.5,61.66666667,48.33333333,56.66666667,55.55555556,150,6.19,0.958733333,37.73,22.58,584.5,586.9,750.9,655.1,514.2,731.3,0.209302326,0.36,770,813,838,1,0.284651163,0.004744186,84.70047803,
