Species,Code,,EATS ID, Carbon,Nitrogen,P Conc.,K Conc.,Ca Conc.,Mg Conc.,Fe Conc.,Al Conc.,
,,,,- wt. % -,- wt. % -,- % -,- % -,- % -,- % -,- mg/kg -,- mg/kg -,
Aegiphila verticillata,AEVE,1,RR10325,49.96,2.10,0.113,0.864,0.686,0.327,82,79,
Aegiphila verticillata,AEVE,2,RR10326,49.01,1.81,0.080,0.432,0.398,0.316,80,251,
Aegiphila verticillata,AEVE,3,RR10327,48.83,2.48,0.131,0.981,0.412,0.219,109,526,
Alibertia edulis,ALED,1,RR10328,49.86,1.37,0.065,0.976,0.616,0.258,87,102,
Alibertia edulis,ALED,2,RR10329,49.31,1.38,0.069,0.862,0.708,0.302,125,141,
Alibertia edulis,ALED,3,RR10330,51.04,1.73,0.078,1.027,0.508,0.197,137,143,
Amaioua intermedia,AMIN,1,RR10331,49.31,1.65,0.081,0.438,0.441,0.211,81,90,
Amaioua intermedia,AMIN,2,RR10332,48.59,1.81,0.078,0.313,0.224,0.210,74,63,
Amaioua intermedia,AMIN,3,RR10333,48.60,1.61,0.064,0.616,0.338,0.201,98,101,
Annona coriacea,ANCO,1,RR10534,44.38,1.38,0.065,1.067,0.954,0.263,138,72,
Annona coriacea,ANCO,2,RR10535,45.97,1.62,0.073,0.368,1.213,0.263,115,87,
Annona coriacea,ANCO,3,RR10536,45.16,1.77,0.079,0.651,0.971,0.287,99,85,
Annona cacans,ANCA,1,RR10334,42.39,2.62,0.150,0.488,2.840,0.346,107,105,
Annona cacans,ANCA,2,RR10335,45.39,2.90,0.147,0.757,1.510,0.159,199,217,
Annona crassiflora,ANCR,1,RR10336,49.71,1.32,0.063,0.184,0.942,0.113,77,75,
Annona crassiflora,ANCR,2,RR10337,48.66,1.46,0.072,0.273,1.176,0.139,107,112,
Annona crassiflora,ANCR,3,RR10338,48.93,1.53,0.083,0.489,0.614,0.141,120,122,
Annona dioica,ANDI,1,RR10537,47.41,1.77,0.091,0.577,0.428,0.159,153,176,
